Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Osobni identifikacijski broj,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi,,,,,
Obrazovni ishodi i radne karijere mladih koji su odrasli u siromaštvu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Pravni fakultet u Zagrebu ,38583303160,30.06.2015,30.09.2016,"941.999,00 kn","957.802,00 kn",,,,,
ZAMAH- Utjecaj recesije na strukturu i kretanje nezaposlenosti mladih u RH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Ekonomski institut, Zagreb",70925432731,30.06.2015,30.09.2016,"272.945,00 kn","454.025,00 kn",,,,,
WelfarEurope – Mjerenje kvalitete života i rada u Europi,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Ekonomski institut, Zagreb",70925432731,30.06.2015,30.09.2016,"689.662,50 kn","689.662,50 kn",,,,,
Lišajevi kao bioindikatori zagađenja u okolišu (OkoLIŠ),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Prirodoslovno-matematički fakultet ,28163265527,29.06.2015,29.09.2016,"578.113,00 kn","578.113,00 kn",,,,,
Inovativno oplemenjivanje pšenice - brza fenotipizacija i selekcija potpomognuta DNA biljezima,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Agronomski fakultet ,76023745044,29.06.2015,29.06.2016,"745.549,32 kn","745.549,32 kn",,,,,
Leksikografska obradba i interpretacija korpusa Rječnika hrvatskoga kajkavskoga književnog jezika,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Institut za hrvatski jezik i jezikoslovlje ,12268324202,29.06.2015,29.09.2016,"240.255,15 kn","240.255,15 kn",,,,,
"Utjecaj nanočestica srebra na proteom, sekretom i interaktom stanica duhana (NANO-PSI)",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Prirodoslovno-matematički fakultet ,28163265527,29.06.2015,29.09.2016,"360.840,41 kn","360.840,41 kn",,,,,
Novi modeli proučavanja autofagije u stanicama leukemijskih linija,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Medicinski fakultet, Sveučilište u Zagrebu",45001686598,29.06.2015,29.09.2016,"555.430,00 kn","555.430,00 kn",,,,,
Pretkliničko istraživanje poremećaja pokreta pomoću klostridijskih neurotoksina,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Medicinski fakultet Sveučilišta u Zagrebu ,45001686598,29.06.2015,29.06.2016,"197.005,00 kn","197.005,00 kn",,,,,
KOMPEKO- Analiza ključnih kompetencija u području ekonomije i poslovanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Ekonomski institut, Zagreb",70925432731,22.07.2015,22.10.2016,"399.449,00 kn","399.449,00 kn",,,,,
Podizanje kompetencija mladih istraživača u tehnologijama regenerativne medicine u bolestima mozga (MladiMozak),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Sveučilište u Zagrebu Medicinski fakultet ,45001686598,22.07.2015,22.10.2016,"1.933.865,00 kn","1.933.865,00 kn",,,,,
Razvoj ciljane terapije infarkta u novom modelu dijabetesa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Sveučilište u Zagrebu, Medicinski fakultet",45001686598,22.07.2015,22.10.2016,"958.954,00 kn","958.954,00 kn",,,,,
Stvaranje preduvjeta za izgradnju računalnog makroekonomskog modela za Hrvatsku (SPIRITH),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Ekonomski fakultet u Zagrebu ,27208467122,29.06.2015,29.09.2016,"1.001.488,21 kn","1.001.488,21 kn",,,,,
Latinska gramatika Josipa Jurina LAGRAJU,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Institut za hrvatski jezik i jezikoslovlje ,12268324202,29.06.2015,29.09.2016,"282.503,44 kn","282.503,44 kn",,,,,
Interdisciplinarni pristup u razvoju jezično-kognitivnog modela disleksije kod odraslih,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Edukacijsko-rehabilitacijski fakultet Sveučilišta u Zagrebu ,34967762426,22.07.2015,22.10.2016,"741.997,84 kn","741.997,84 kn",,,,,
JAČANJE KAPACITETA U MEDICINSKOJ KEMIJI I ISTRAŽIVANJU BIOAKTIVNIH SUSTAVA,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Institut Ruđer Bošković ,69715301002,29.06.2015,29.09.2016,"1.842.445,00 kn","1.842.445,00 kn",,,,,
Povećanje konkurentnosti razvojem istraživača u fizici Sunca (PoKRet),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Sveučilište u Zagrebu - Geodetski fakultet ,43594593297,22.07.2015,22.10.2016,"983.098,70 kn","983.098,70 kn",,,,,
"Razvoj standarda kvalifikacija i preddiplomskih studijskih programa na
Tekstilno-tehnološkom fakultetu",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Tekstilno-tehnološki fakultet Sveučilišta u Zagrebu ,43097527965,18.06.2015,18.09.2016,"1.585.993,90 kn","1.669.467,26 kn",,,,,
"RAZVOJ STANDARDA ZANIMANJA, STANDARDA KVALIFIKACIJA  I DIPLOMSKIH STUDIJSKIH PROGRAMA U KINEZIOLOGIJI",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,KINEZIOLOŠKI FAKULTET SPLIT ,57848936921,18.06.2015,18.09.2016,"563.980,51 kn","593.663,70 kn",,,,,
Unapređenje studijskog programa Dentalna medicina u skladu s HKO,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Sveučilište u Zagrebu, STOMATOLOŠKI  FAKULTET",70221464726,18.06.2015,18.09.2016,"2.436.799,96 kn","2.565.052,59 kn",,,,,
Standardi kvalifikacija i unapređivanje kvalitete studijskih programa odgajatelja i učitelja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Sveučilište u Rijeci Učiteljski fakultet u Rijeci ,96996385705,18.06.2015,18.07.2016,"996.646,77 kn","1.049.101,86 kn",,,,,
"Razvoj studija ekologije, računarstva i matematike uz primjenu Hrvatskoga kvalifikacijskog okvira – EkoRaMa",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Sveučilište u Zagrebu, Prirodoslovno-matematički fakultet ",28163265527,18.06.2015,18.09.2016,"2.924.245,89 kn","3.768.436,85 kn",,,,,
IZRADA STANDARDA ZANIMANJA I STANDARDA KVALIFIKACIJE STRUČNJAKA ZA OBRAZOVANJE ODRASLIH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Filozofski fakultet Sveučilišta u Splitu ,98004523293,30.06.2015,31.08.2016,"896.900,00 kn","944.546,00 kn",,,,,
"Stand4INFO - Razvoj visokoobrazovnih standarda zanimanja, standarda kvalifikacija i studijskih programa na osnovama Hrvatskog kvalifikacijskog okvira u području informatike",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Fakultet organizacije i informatike ,2024882310,18.06.2015,18.09.2016,"754.018,00 kn","793.703,75 kn",,,,,
Unaprjeđivanje kvalitete visokog obrazovanja uz primjenu HKO-a na Fakultetu političkih znanosti Sveučilišta u Zagrebu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Sveučilište u Zagrebu - Fakultet političkih znanosti ,28011548575,18.06.2015,18.09.2016,"1.325.879,59 kn","1.395.663,17 kn",,,,,
Unapređenje kvalitete studijskih programa ZŠEM-a u okviru HKO-a,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Zagrebačka škola ekonomije i managementa ,96760515998,18.06.2015,18.09.2016,"2.970.644,46 kn","3.126.994,17 kn",,,,,
Unapređivanje studijskih programa u biotehničkom području prema načelima HKO-a,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Prehrambeno-biotehnološki fakultet Sveučilišta u Zagrebu ,47824453867,18.06.2015,18.06.2016,"3.454.634,13 kn","3.636.456,98 kn",,,,,
"Razvoj modernih studijskih programa za izobrazbu nastavnika informatike, tehnike, biologije, kemije, fizike i matematike na temeljima Hrvatskoga kvalifikacijskog okvira",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Prirodoslovno-matematički fakultet ,20858497843,18.06.2015,18.09.2016,"3.797.380,44 kn","3.997.242,58 kn",,,,,
"Ravnatelj:  profesija i  kvalifikacija,  a ne funkcija",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Sveučilište u Zadru ,10839679016,18.06.2015,18.09.2016,"1.945.631,22 kn","2.048.032,87 kn",,,,,
Pomoćnici kao potpora inkluzivnom obrazovanju,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Grad Zagreb ,61817894937,10.11.2014,03.08.2015,"3.267.419,68 kn","3.267.419,68 kn",,,,,
ReStart – podrška beskućnicima za ulazak na tržište rada,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Grad Zagreb ,61817894937,08.07.2015,07.09.2016,"1.497.625,82 kn","1.606.236,60 kn",,,,,
Slatka dijetetika,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Pučko otvoreno učilište Zagreb ,17480760019,30.11.2015,29.11.2016,"988.996,83 kn","1.144.455,88 kn",,,,,
„Osnaživanje kompetencija za zapošljavanje u drogerijama“,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Callidus - ustanova za obrazovanje odraslih ,51744209467,30.11.2015,29.11.2016,"999.067,69 kn","1.051.650,20 kn",,,,,
Jačanje socijalnog dijaloga u sektoru znanosti i visokog obrazovanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Nezavisni sindikat znanosti i visokog obrazovanja ,44542870641,31.08.2015,30.08.2016,"792.994,49 kn","792.994,49 kn",,,,,
Korak dalje,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Carinski sindikat Hrvatske ,61518273309,27.07.2015,26.07.2016,"700.416,32 kn","700.416,32 kn",,,,,
Jačanje socijalnog dijaloga - doprinos bipartitnim i tripartitnim procesima ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Matica hrvatskih sindikata ,33507893870,31.08.2015,30.08.2016,"627.868,80 kn","627.868,80 kn",,,,,
Znanjem do boljeg socijalnog dijaloga,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Sindikat metalaca Hrvatske – Industrijski sindikat  ,97064188151,27.07.2015,26.07.2016,"923.934,49 kn","923.934,49 kn",,,,,
Dijalog za sigurnost - sigurnost za dijalog,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Sindikat policije Hrvatske ,26439251742,27.07.2015,26.06.2016,"1.207.572,11 kn","1.207.572,11 kn",,,,,
EDUCA - Novi sustav sindikalnog osposobljavanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Savez samostalnih sindikata Hrvatske ,602600385,27.07.2015,26.07.2016,"1.797.282,11 kn","1.797.282,11 kn",,,,,
"""Možemo zajedno! Prvi korak ka učinkovitom socijalnom dijalogu u Hrvatskoj""",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Hrvatski sindikat male privrede, obrtništva, uslužnih djelatnosti i stranih predstavništva",32235848024,27.07.2015,26.07.2016,"754.190,00 kn","754.190,00 kn",,,,,
Novi uzlet,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Trade Air d.o.o. ,1729392715,03.08.2015,02.08.2016,"287.287,27 kn","310.050,00 kn",,,,,
Poslovna inteligencija 2015/2016 – ulaganjem u ljudske potencijale za konkurentnost na novim tržištima,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Poslovna inteligencija d.o.o. ,65570189449,20.07.2015,19.07.2016,"260.551,75 kn","274.265,00 kn",,,,,
Posao svih poslova,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Kerschoffset Zagreb d.o.o. ,95125392657,23.07.2015,22.07.2016,"218.770,68 kn","230.284,93 kn",,,,,
Eduka za novih 40 godina,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Iviček d.o.o. ,62588918891,20.07.2015,19.07.2016,"194.118,25 kn","204.335,00 kn",,,,,
''Znanje kao multiplikator našeg uspjeha i boljih poslovnih rezultata na rastućem tržištu organskih zdravih proizvoda'',Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Biovega d.o.o.  ,84586153335,20.07.2015,19.07.2016,"258.804,78 kn","272.504,78 kn",,,,,
Kontinuirano educiranje i povećanje vještina i kompetencija zaposlenika,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Megatrend poslovna rješenja d.o.o. ,94495978018,20.07.2015,19.07.2016,"300.000,00 kn","344.410,00 kn",,,,,
"Poduzetništvo i obrtništvo je IN
",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Obrtničko učilište - ustanova za obrazovanje odraslih ,66251160841,20.07.2015,19.07.2016,"229.014,28 kn","241.067,67 kn",,,,,
Promocija poduzetništva i obrta u šumarskom i drvnom sektoru,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Institut za razvoj i međunarodne odnose ,31120185175,20.07.2015,19.07.2016,"295.220,84 kn","295.220,84 kn",,,,,
Edukacijom do modernizacije frizerskih tehnika,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"""Beauty"" frizerski obrt, vl. Spomenka Krebsz",43088160468,21.08.2015,20.08.2016,"187.868,12 kn","197.850,00 kn",,,,,
"PLINIFIKAL - Suvremene usluge instalacije plina, grijanja i vode",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Plinoinstalaterski obrt ""Servoplin"", Tihomir Mihalić",5689515854,20.07.2015,19.07.2016,"156.358,60 kn","164.588,00 kn",,,,,
Znanjem do novih rješenja   ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,BCC Services d.o.o. ,99008810635,20.07.2015,19.07.2016,"234.440,09 kn","247.325,50 kn",,,,,
Kozmetičari – Kompetentni za pružanje novih usluga i širenje znanja (KOZMOS) ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Kozmetički salon Valeno, obrt za usluge i trgovinu, vl. Valerija Štokić",81305406624,20.07.2015,19.07.2016,"95.435,81 kn","100.460,00 kn",,,,,
Povećanje konkurentnosti ulaganjem u cjeloživotno obrazovanje zaposlenika,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Astra international-inženjering d.o.o ,69935095701,20.07.2015,19.07.2016,"61.851,16 kn","65.106,49 kn",,,,,
Podizanje kvalitete proizvoda i učinkovitosti zaposlenika tvrtke RAO d.o.o.,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,RAO d.o.o. ,94111301877,27.07.2015,26.07.2016,"300.000,00 kn","326.691,00 kn",,,,,
Daljnji razvoj standarda zanimanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Hrvatski zavod za zapošljavanje ,91547293790,09.03.2015,30.06.2016,"760.956,35 kn","760.956,35 kn",,,,,
Spin Asistent +,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Hrvatske udruge paraplegičara i tetraplegičara ,24105496418,29.10.2015,28.10.2016,"744.665,55 kn","744.665,55 kn",,,,,
Informatizacija i  stručne edukacije u centrima za socijalnu skrb (ISECSS),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Ministarstvo socijalne politike i mladih ,15351583880,18.06.2015,17.06.2016,"5.172.338,50 kn","5.172.338,50 kn",,,,,
Razvoj obrazovnih programa za građevinska zanimanja u području energetski učinkovite gradnje,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Mješovita industrijsko-obrtnička škola ,68371339805,30.11.2015,29.11.2016,"751.512,80 kn","791.066,10 kn",,,,,
Pružanje usluge osobne asistencije za osobe s invaliditetom,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,UDRUGA INVALIDA RADA I OSTALIH OSOBA S INVALIDITETOM GRADA DUGA RESA ,24852899720,29.10.2015,28.10.2016,"423.517,66 kn","423.517,66 kn",,,,,
Plan provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske,Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,KARLOVAČKA,Hrvatske ceste d.o.o. ,55545787885,16.10.2015,30.06.2016,"559.300,00 kn","658.000,00 kn",,,,,
Izrada Studije prometnog razvoja Karlovačke županije,Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,KARLOVAČKA,Karlovačka županija ,65050537368,28.05.2015,30.09.2016,"2.860.080,00 kn","3.364.800,00 kn",,,,,
Studija modernizacije željezničke pruge M202 Zagreb GK - Rijeka na dionici Oštarije - Škrljevo,Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,KARLOVAČKA,HŽ Infrastruktura d.o.o. ,39901919995,08.06.2015,30.09.2016,"3.400.000,00 kn","4.000.000,00 kn",,,,,
Izrada studije uvođenja Europskog sustava upravljanja željezničkim prometom (ERTMS),Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,KARLOVAČKA,HŽ Infrastruktura d.o.o. ,39901919995,08.06.2015,30.09.2016,"4.250.000,00 kn","5.000.000,00 kn",,,,,
Uvođenje informacijske i komunikacijske tehnologije za poboljšanje poslovnih procesa u Vis d.o.o.,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KARLOVAČKA,Vis d.o.o. ,90242961566,13.04.2015,01.05.2016,"153.141,15 kn","204.188,20 kn",,,,,
Slatkovodni akvarij i muzej rijeka – KAquarium,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KARLOVAČKA,Grad Karlovac ,25654647153,29.09.2014,30.09.2016,"36.222.282,45 kn","36.691.939,28 kn",,,,,
Sanacija odlagališta opasnog otpada Lemić Brdo kraj Karlovca,Kohezijski fond,EN,Okoliš,Continental Croatia,KARLOVAČKA,Fond za zaštitu okoliša i energetsku učinkovitost ,85828625994,24.08.2015,31.10.2015,"13.370.100,19 kn","15.729.529,63 kn",,,,,
Izgradnja kapaciteta za programsko financiranje visokih učilišta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,"Ministarstvo znanosti, obrazovanja i sporta",49508397045,08.06.2015,19.05.2016,"1.950.750,00 kn","2.295.000,00 kn",,,,,
PROMO BUDI UZOR - Natjecanje za najbolji studentski poslovni plan,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Tera Tehnopolis d.o.o. ,39077073015,20.07.2015,19.07.2016,"293.392,31 kn","312.246,04 kn",,,,,
Edukacijom zaposlenika u nove poslovne izazove,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,EA sistem d.o.o. za pružanje poslovnih usluga ,46982500708,20.07.2015,19.07.2016,"72.307,57 kn","76.121,24 kn",,,,,
"Pr(a)vi put u biznis!- Projekt promicanja poduzetništva ugroženih skupina
",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Institut za razvoj poduzetništva i europske projekte ,68105934277,21.07.2015,20.07.2016,"235.549,37 kn","248.236,50 kn",,,,,
Edukacija za sigurniji transport,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Magrad d.o.o. ,85734339856,28.07.2015,27.06.2016,"40.923,36 kn","43.200,00 kn",,,,,
DT kreativci,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Šumarska i drvodjeljska škola Karlovac ,47487840909,20.07.2015,19.07.2016,"262.810,25 kn","262.810,25 kn",,,,,
"""PODURES"" Promocija poduzetništva i cjeloživotnog učenja Duge Rese i okolice",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Grad Duga Resa ,15857239976,20.07.2015,19.07.2016,"218.566,64 kn","248.599,60 kn",,,,,
Podizanje razine stručnog osposobljavanja i poduzetničkih znanja i vještina putem verificiranih programa obrazovanja u SA BIŠĆAN d.o.o.,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,"SA BIŠĆAN d.o.o. za građevinarstvo, trgovinu i poslovanje nekretninama",14814013239,28.07.2015,27.01.2016,"225.309,12 kn","237.167,50 kn",,,,,
SPEAK UP - Socijalnim dijalogom do unapređenja radnih uvjeta u sektoru cestovnog prometa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Nezavisni cestarski sindikat ,84712436363,29.07.2015,28.07.2016,"853.264,00 kn","853.264,00 kn",,,,,
Zajedno možemo više – pojedinac u fokusu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Ambidekster klub ,70452429639,29.12.2014,28.02.2016,"749.299,96 kn","749.299,96 kn",,,,,
"Unaprjeđenje socijalnih usluga suradnjom, razvojem i edukacijom",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Udruga Terra ,29551185037,29.12.2014,28.02.2016,"747.022,25 kn","747.022,25 kn",,,,,
Dodajmo život godinama,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Hrvatski Crveni križ Gradsko društvo Crvenog križa Slunj ,49792201768,29.12.2014,28.02.2016,"732.624,92 kn","732.624,92 kn",,,,,
Za bolje sutra: Jačanje sposobnosti organizacija civilnoga društva za pružanje socijalnih usluga,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Hrvatski savez slijepih ,49466521634,29.12.2014,28.02.2016,"749.407,06 kn","749.407,06 kn",,,,,
Koordinacija za pružanje socijalnih usluga Karlovačke i Sisačko-moslavačke županije,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Lokalna akcijska grupa Vallis Colapis ,50199820179,29.12.2014,28.12.2015,"736.517,97 kn","736.517,97 kn",,,,,
"""Praktična kuća znanja"" - jačanje socijalnog uključivanja osoba s invaliditetom u zajednicu",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Udruga osoba s invaliditetom Karlovačke županije ,13537192187,14.07.2015,13.09.2016,"979.600,75 kn","979.600,75 kn",,,,,
Siguran put ka neovisnom življenju,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,"Ženska grupa Karlovac ""Korak""",18417943057,15.07.2015,14.09.2016,"885.756,82 kn","885.756,82 kn",,,,,
„Solidarnost i kvaliteta u pružanju socijalnih usluga“,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Udruga MI ,15816581765,29.12.2014,28.12.2015,"749.989,67 kn","749.989,67 kn",,,,,
Budimo promjena koju želimo vidjeti!,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Udruga Kupa rijeka života ,49984344888,29.12.2014,28.12.2015,"199.939,00 kn","199.939,00 kn",,,,,
"Projekt za osnaživanje lokalne zajednice u razvoju civilnog društva i volonterizma na području posebne državne skrbi - ""Jedan, dva, tri, uključi se i ti""",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Udruga za lokalni razvoj „Turbina promjena“ ,23568922885,29.12.2014,28.12.2015,"199.280,00 kn","199.280,00 kn",,,,,
Partnerstvom do dobrog upravljanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,KA-MATRIX - Udruga za društveni razvoj ,37280183665,29.12.2014,28.12.2015,"162.311,14 kn","162.311,14 kn",,,,,
"RAZVOJ STANDARDA ZANIMANJA, STANDARDA KVALIFIKACIJA  I DIPLOMSKIH STUDIJSKIH PROGRAMA U KINEZIOLOGIJI",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,KINEZIOLOŠKI FAKULTET SPLIT ,57848936921,18.06.2015,18.09.2016,"563.980,51 kn","593.663,70 kn",,,,,
IZRADA STANDARDA ZANIMANJA I STANDARDA KVALIFIKACIJE STRUČNJAKA ZA OBRAZOVANJE ODRASLIH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Filozofski fakultet Sveučilišta u Splitu ,98004523293,30.06.2015,31.08.2016,"896.900,00 kn","944.546,00 kn",,,,,
Unapređenje studijskog programa Dentalna medicina u skladu s HKO,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,"Sveučilište u Zagrebu, STOMATOLOŠKI  FAKULTET",70221464726,18.06.2015,18.09.2016,"2.436.799,96 kn","2.565.052,59 kn",,,,,
Obrazovni ishodi i radne karijere mladih koji su odrasli u siromaštvu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Pravni fakultet u Zagrebu ,38583303160,30.06.2015,30.09.2016,"941.999,00 kn","957.802,00 kn",,,,,
Pojavnost mikotoksina u hrvatskim žitaricama (CroMycoScreen),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Prehrambeno-tehnološki fakultet ,96371000697,29.06.2015,29.09.2016,"776.078,34 kn","776.078,34 kn",,,,,
Agroeduca,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Gospodarska škola ,38837480958,30.11.2015,29.11.2016,"1.499.999,95 kn","2.513.707,07 kn",,,,,
Širenje usluge osobne asistencije za osobe s invaliditetom na području Karlovačke županije,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Udruga osoba s invaliditetom Karlovačke županije ,13537192187,30.10.2015,29.10.2016,"698.825,27 kn","698.825,27 kn",,,,,
Potpora razvoju inkluzivnosti redovnih osnovnih škola u Karlovcu radom pomoćnika u nastavi,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Grad Karlovac ,25654647153,06.11.2014,30.09.2015,"581.123,33 kn","581.123,33 kn",,,,,
